CVT32ModuleS2.sv	2	2
CVT64.sv	10	10
RoundingUnit_8.sv	56	60
RoundingUnit_6.sv	56	60
AsyncResetSynchronizerShiftReg_w4_d3_i0.sv	25	25
Hstateen2Module.sv	13	13
ram_15x73.sv	4	4
ram_15x422.sv	4	4
AsyncResetSynchronizerPrimitiveShiftReg_d3_i0.sv	4	4
WBArbiter.sv	86	89
array_2048x10.sv	327	330
Decoupled2LCredit_1.sv	105	128
Lzc.sv	924	942
LCredit2Decoupled_3.sv	144	160
Queue4_CHISNP.sv	129	136
FIFOReg.sv	315	371
LCredit2Decoupled_4.sv	171	187
Queue15_CHIDAT.sv	178	185
Queue15_CHIREQ.sv	199	206
Rsqrt7Table.sv	1682	2124
Rec7Table.sv	1798	2294
UIntToContLow0s.sv	706	1084
CVT32ModuleS1.sv	1750	2066
CVT32.sv	266	267
VlRegFile.sv	1660	1799
CounterFilter.sv	2896	3718
ShiftRightJam_2.sv	59	65
VCVT_1.sv	10	10
RoundingUnit.sv	56	60
MaskExtractor.sv	113	155
Lzc_9.sv	435	450
ram_2x10.sv	4	4
ram_15x162.sv	4	4
ram_4x115.sv	4	4
Mhpmcounter11Module.sv	70	86
Queue1_RegMapperInput_1.sv	47	52
ByteMaskTailGen.sv	247	247
Decoupled2LCredit_5.sv	106	129
Decoupled2LCredit_2.sv	114	137
Queue15_CHIRSP.sv	151	158
LCredit2Decoupled.sv	145	161
array_128x38.sv	1223	1226
CVT32ModuleS0.sv	570	684
INT2FP.sv	617	793
LCredit2Decoupled_5.sv	192	208
AgeDetector.sv	1322	1844
VtTrainPipeline.sv	459	519
UIntToContLow1s.sv	1145	1523
RNLinkMonitor.sv	229	240
BusyTable_3.sv	1570	1784
RegionWays.sv	1380	1612
FreeList_4.sv	6509	8560
